DateTime,AddedIPs,RemovedIPs
1577673381,83,5
1577675324,161,9
1577677221,129,5
1577679391,189,16
1577681290,202,20
1577683236,109,61
1577685128,308,3
1577687063,174,1
1577688996,171,0
1577690905,106,4
1577693783,281,3
1577695699,308,6
1577697627,188,3
1577699528,188,0
1577701456,152,1
1577703401,188,2
1577705286,70,1
1577708192,338,31
1577710339,321,105
1577712251,264,140
1577714198,174,57
1577716351,4,6
1577718527,2,13
1577720421,5,42
1577722340,7,6
1577724275,8,10
1577726185,11,13
1577728092,10,1
1577730036,58,6
1577731940,6,13
1577733878,4,92
1577735791,3,8
1577737950,5,11
1577739896,1,8
1577741774,3,20
1577743731,5,2
1577745616,2,32
1577747542,5,18
1577749483,4,12
1577751383,1,278
1577753312,893,333
1577755231,3,502
1577757140,37,379
1577759061,25,143
1577761026,13,156
1577762892,15,102
1577764884,5,178
1577766740,3,170
1577768904,4,124
1577770814,7,217
1577772776,2,232
1577774655,7,175
1577776610,18,80
1577778508,12,171
1577780412,3,192
1577782341,5,334
1577784268,4,178
1577786181,1,176
1577788099,4,158
1577790984,8,151
1577792886,3,251
1577794835,4,173
1577796730,5,268
1577798656,6,260
1577800578,8,176
1577802495,3,5
1577804442,7,3
1577806365,10,2
1577808504,6,12
1577810697,7,11
1577812833,5,19
1577814734,6,11
1577816655,5,62
1577818588,2,6
1577820502,6,3
1577822448,4,9
1577824353,1,5
1577826289,3,2
1577828423,10,5
1577830580,11,6
1577832491,4,5
1577834434,4,6
1577836342,13,1
1577838261,6,310
1577840167,8,619
1577842093,6,5
1577844049,8,80
1577845942,9,75
1577847884,5,79
1577849780,8,75
1577851691,4,9
1577853622,20,3
1577855540,36,5
1577857448,49,6
1577859372,28,2
1577861297,17,5
1577863206,20,5
1577865131,24,3
1577867058,29,15
1577868966,40,33
1577870895,31,4
1577873781,42,3
1577875697,12,6
1577877613,12,6
1577879811,11,6
1577881963,60,4
1577883879,6,5
1577885768,4,8
1577887939,9,8
1577889854,13,2
1577891778,48,8
1577893937,11,10
1577895870,7,3
1577897797,1,4
1577899713,6,7
1577901654,2,7
1577903564,3,3
1577905479,7,5
1577907626,6,3
1577909559,6,4
1577911479,5,3
1577913382,7,4
1577915558,9,12
1577917472,6,6
1577919699,4,6
1577921533,13,8
1577923714,8,7
1577925615,4,9
1577927557,4,7
1577929489,9,11
1577931406,9,8
1577933305,15,4
1577935228,8,2
1577937149,2,3
1577939061,5,5
1577940993,7,14
1577942898,5,11
1577945804,14,23
1577947936,11,6
1577949867,5,7
1577951767,735,9
1577953939,1990,6
1577955872,1351,13
1577957799,1241,11
1577959937,523,24
1577961851,6,3
1577964051,8,9
