DateTime,Entries,UniqueIPs
1577485447,1532,1532
1577487425,1532,1532
1577489294,1532,1532
1577491216,1880,1880
1577493137,1883,1883
1577495059,1877,1877
1577497217,1899,1899
1577499138,1916,1916
1577501051,1924,1924
1577502973,1928,1928
1577504888,1909,1909
1577506808,1910,1910
1577508727,1912,1912
1577510648,1919,1919
1577512567,1924,1924
1577514490,1921,1921
1577516414,1920,1920
1577518400,1913,1913
1577520253,1909,1909
1577522168,1908,1908
1577524090,1904,1904
1577526009,1905,1905
1577528183,1924,1924
1577530087,1920,1920
1577532008,991,991
1577533930,999,999
1577535846,1537,1537
1577537769,1531,1531
1577539688,1529,1529
1577541622,1524,1524
1577543538,1516,1516
1577545476,1515,1515
1577547367,1496,1496
1577549317,1501,1501
1577551211,1493,1493
1577553391,1486,1486
1577555287,1489,1489
1577557228,1470,1470
1577559127,1466,1466
1577561056,1454,1454
1577562977,1453,1453
1577564886,1445,1445
1577566821,1439,1439
1577568746,1426,1426
1577570659,1423,1423
1577572577,1402,1402
1577574536,1385,1385
1577576664,1378,1378
1577578574,1858,1858
1577580489,1860,1860
1577582408,1857,1857
1577584329,1855,1855
1577586247,1888,1888
1577588166,1896,1896
1577590102,1890,1890
1577592011,1893,1893
1577593935,1897,1897
1577596104,1890,1890
1577598011,1895,1895
1577599951,1886,1886
1577601850,1883,1883
1577603771,1883,1883
1577605700,1890,1890
1577607850,1877,1877
1577609768,1879,1879
1577611697,1867,1867
1577613634,1873,1873
1577615546,1864,1864
1577617460,1072,1072
1577619624,1063,1063
1577621536,1493,1493
1577623458,1504,1504
1577625614,1491,1491
1577627529,1481,1481
1577629457,1464,1464
1577631616,1449,1449
1577633535,1446,1446
1577635698,1445,1445
1577637607,1429,1429
1577639782,1418,1418
1577641697,1407,1407
1577643621,1388,1388
1577645526,1387,1387
1577647456,1381,1381
1577649368,1374,1374
1577651534,1365,1365
1577653698,1351,1351
1577655618,1331,1331
1577657776,1311,1311
1577659942,1307,1307
1577661859,1300,1300
1577663779,1273,1273
1577665696,1671,1671
1577667639,1672,1672
1577669543,1674,1674
1577671482,1672,1672
1577673371,1682,1682
1577675321,1689,1689
1577677211,1711,1711
1577679387,1726,1726
1577681287,1720,1720
1577683224,1714,1714
1577685125,1716,1716
1577687053,1715,1715
1577688982,1722,1722
1577690897,1729,1729
1577692811,1729,1729
1577694745,1722,1722
1577696658,1719,1719
1577698822,1717,1717
1577700733,1708,1708
1577702667,1710,1710
1577704567,883,883
1577706519,888,888
1577708422,1360,1360
1577710335,1357,1357
1577712248,1347,1347
1577714186,1341,1341
1577716345,1335,1335
1577718515,1333,1333
1577720415,1327,1327
1577722335,1323,1323
1577724262,1320,1320
1577726179,1308,1308
1577728086,1289,1289
1577730021,1279,1279
1577731932,1273,1273
1577733862,1257,1257
1577735769,1255,1255
1577737944,1237,1237
1577739867,1223,1223
1577741768,1212,1212
1577743716,1203,1203
1577745609,1196,1196
1577747535,1205,1205
1577749460,1204,1204
1577751371,1622,1622
1577753286,1622,1622
1577755219,1626,1626
1577757135,1646,1646
1577759051,1647,1647
1577760977,1662,1662
1577762887,1666,1666
1577764836,1688,1688
1577766735,1691,1691
1577768900,1704,1704
1577770810,1703,1703
1577772755,1708,1708
1577774650,1726,1726
1577776580,1754,1754
1577778499,1756,1756
1577780407,1763,1763
1577782328,1766,1766
1577784263,1761,1761
1577786168,1756,1756
1577788095,1768,1768
1577790018,1160,1160
1577791951,1174,1174
1577793858,1595,1595
1577795777,1626,1626
1577797701,1645,1645
1577799607,1639,1639
1577801776,1635,1635
1577803699,1644,1644
1577805849,1635,1635
1577808030,1614,1614
1577809945,1610,1610
1577811855,1608,1608
1577813767,1605,1605
1577815713,1603,1603
1577817608,1593,1593
1577819537,1581,1581
1577821459,1560,1560
1577823367,1549,1549
1577825530,1545,1545
1577827457,1528,1528
1577829366,1512,1512
1577831284,1512,1512
1577833274,1496,1496
1577835394,1486,1486
1577837556,1871,1871
1577839448,1868,1868
1577841613,1870,1870
1577843529,1866,1866
1577845461,1860,1860
1577847366,1860,1860
1577849290,1855,1855
1577851211,1850,1850
1577853134,1852,1852
1577855069,1854,1854
1577856969,1862,1862
1577858918,1864,1864
1577861063,1859,1859
1577862974,1855,1855
1577864903,1849,1849
1577866807,1848,1848
1577868738,1847,1847
1577870658,1838,1838
